,Question,DomainIntent,Intent,Answer,Class
18,What tools will I get a chance to learn?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general
15,What type of projects will the fellowship engineers get a chance to work on?,fellowship program,project, The fellowship engineers work on the actual real-world problem from the Tech Companies or the IPs being developed by BridgeLabz. The cloud-aware App development spans more than a month with direct interactions with the mentors. The goal is to deliver a product and not a project. We get industry visitors who share their Product World experiences with the fellowship engineers.,general
30,Hello,fellowship program,greetings,Hi,greetings
50,Whats up?,fellowship program,greetings,Not much,greetings
34,Hey There,fellowship program,greetings,Hey,greetings
35,"Hi, How is it going?",fellowship program,greetings,Good,greetings
11,What can fellowship engineer expect in the technical interview?,fellowship program,interview, The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it. ,general
20,how much time will take to complete fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general
25,What tools will I get a chance to work on?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general
47,Good Afternoon,fellowship program,greetings,Good Afternoon,greetings
41,How do you do?,fellowship program,greetings,I'm doing well,greetings
4,How do I get in?,fellowship program,enter, You will require to register for one of our recruitment drives and pass our hackathon challenge which includes a technical interview.,general
36,"Hey, How is it going?",fellowship program,greetings,Fine,greetings
14,What will be my starting salary?,fellowship program,salary, Our fellows get salaries benchmark with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires.,general
